City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,baruun-urt,46.6806,113.2792,-28.14,94,15,3.16,MN,1706670403
110,tabas,33.5959,56.9244,6.15,52,70,2.72,IR,1706670407
111,big bend,-26.8167,31.9333,20.64,95,59,1.16,SZ,1706670409
112,sigli,5.3848,95.9609,28.12,73,51,3.52,ID,1706670412
113,sukagawa,37.2833,140.3833,9.92,69,75,3.15,JP,1706670415
114,kuvshinovo,57.0295,34.1725,-2.72,95,100,2.2,RU,1706670417
115,buncrana,55.1333,-7.45,6.16,77,100,8.44,IE,1706670420
116,tolanaro,-25.0319,46.9987,23.37,87,66,4.91,MG,1706670424
117,jamestown,42.097,-79.2353,1.77,91,100,2.57,US,1706670426
118,college,64.8569,-147.8028,-28.03,54,75,1.54,US,1706670429
119,saint-pierre,-21.3393,55.4781,25.82,78,74,2.06,RE,1706670432
120,lebu,-37.6167,-73.65,14.69,84,0,5.98,CL,1706670435
121,ratnagiri,16.9833,73.3,23.26,55,43,2.37,IN,1706670429
122,neryungri,56.6709,124.6491,-27.02,94,86,2.6,RU,1706670441
123,sanctuary point,-35.1114,150.629,22.77,88,100,4.09,AU,1706670444
124,point pedro,9.8167,80.2333,27.01,78,90,5.02,LK,1706670448
125,kodiak,57.79,-152.4072,-11.27,48,0,0.0,US,1706670451
126,jalasjarvi,62.5,22.75,0.97,99,100,2.52,FI,1706670455
127,sechura,-5.5569,-80.8222,25.48,75,99,5.85,PE,1706670458
128,taulaga,-11.0553,-171.0883,29.47,63,13,0.6,AS,1706670464
129,porto murtinho,-21.6989,-57.8825,27.42,55,57,2.88,BR,1706670467
130,san andres,12.5847,-81.7006,27.01,83,20,4.12,CO,1706670470
131,urcos,-13.6861,-71.6228,11.94,93,100,2.53,PE,1706670472
132,juneau,58.3019,-134.4197,1.0,95,100,2.06,US,1706670476
133,hasaki,35.7333,140.8333,15.16,52,36,5.14,JP,1706670479
134,tchintabaraden,15.8969,5.7985,16.3,30,0,5.69,NE,1706670481
135,bredasdorp,-34.5322,20.0403,18.24,97,69,1.38,ZA,1706670484
136,qaqortoq,60.7167,-46.0333,-14.08,93,100,5.16,GL,1706670488
